昵称,地区,时间,评论
桃坠,河南,2024-07-22 13:03:29,雷总，什么时候研发小米牌卫生巾，现在卫生巾的价格太需要你了[可怜]
随意名字,陕西,2024-07-22 13:03:20,我学会了  雷哥在哪里领车
繁,广东,2024-07-22 13:02:49,@夹生的饭 @handsome @喝什么汤 @在晾衣杆旁的皮卡 @D狱的火焰🔥 @🌈星星眨眼啦~ @飞雪入江南
maik🏀,北京,2024-07-22 13:01:55,雷总头像帅气啊[看]
飞飞龚主,广东,2024-07-22 13:01:03,雷总，你要是想成为全球第一车企，就把头像换成这个
你听爱有回音,江苏,2024-07-22 13:00:01,雷总，用这个当头像吧，特帅[舔屏]
十三香,广东,2024-07-22 12:59:52,雷总 头怎么秃了一块了？
🌈五樓是只豬欸！,浙江,2024-07-22 12:59:35,要注意 要关ESP
是俊俊吖,IP未知,2024-07-22 12:59:14,纠正一下电车的加速踏板叫电门，不叫油门，油门是属于油车的
北京圣琳服装（工服届爱马仕）,北京,2024-07-22 12:51:33,雷总，今天怎么去厨房上班了[捂脸]
满船清梦,浙江,2024-07-22 12:49:39,雷总，是不是王腾开车老是撞你呀？
老登爱登老,甘肃,2024-07-22 12:44:48,雷总什么时候把原神小米服弄个PC端呀？你是不是忘了还有小米服这个东西？[捂脸][捂脸][捂脸][捂脸]
牛同学,浙江,2024-07-22 12:43:51,我祝雷总月入过万！
终,江西,2024-07-22 12:41:59,果真吗雷总，我试一下[看]
低调前行,江苏,2024-07-22 12:41:25,昨晚看了一下su7。后排空间有点小，后备箱不大，后排不能放倒
辉辉《橱窗有好物》,湖北,2024-07-22 12:40:36,雷总，小米SU7不是电车吗？哪来的油门，油门不是油车才有的吗？[捂脸]
乐满满,广西,2024-07-22 12:40:23,雷总，小米总部这样设计如何[宕机]
先锋的朋友圈🌹,广东,2024-07-22 12:38:32,不应该是电门吗？油车的才叫油门。[赞]
空,广东,2024-07-22 12:38:10,雷大大啊，这可不经教学[捂脸][捂脸][捂脸][捂脸]万一有脑回路清奇的在大马路上这么开心一下，容易发生车祸！建议评论一句非专业人士请勿模范！！！
灵动岛💫,河南,2024-07-22 12:37:26,雷总可以出一款小米卫生巾吗？市面上的都太贵了[流泪]，就叫“小米巨能吸”[猪头]
好像是小郑同学,福建,2024-07-22 12:31:05,可以啊 军 都接到小米的定制视频了[流泪]收益应该不低吧
夜leap,浙江,2024-07-22 12:28:17,哪时候建设一个小米大学[捂脸]真心需要[泪奔]学费好商量[泣不成声][泣不成声][泣不成声]
多看大自然📷,重庆,2024-07-22 12:27:59,可以出个不要会员的电视吗[捂脸]
郑州赵三河改车馆(大阳),河南,2024-07-22 12:27:56,雷总说得对，确实过瘾[发怒][发怒][发怒]
风驶过的声音是,广东,2024-07-22 12:27:00,雷总难道要弄小米赛车了吗[思考]
VancL•抖音小店,河南,2024-07-22 12:23:57,雷总，我还没有车，飘不了[尬笑][爱心]
敬以后,河南,2024-07-22 12:22:04,雷总：SU7在我们村的路能漂移吗？
帅到被人砍、,广东,2024-07-22 12:19:43,雷总是不是小米广告费给的多[看]你最近老代言小米啊
2046,河南,2024-07-22 12:16:43,这个车手不太冷 [看]
沧海化为桑田,广东,2024-07-22 12:16:17,雷总说摊牌了，其实我是赛车手，小米只是副业[不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑]
艳阳天,湖南,2024-07-22 12:15:56,这是1.68亿驾驶模式的第几种[捂脸]
哈登,广东,2024-07-22 12:15:06,爸[流泪]
白兔不白🥕,广东,2024-07-22 12:14:52,雷总 要不您顺手救助一下今年的就业问题（小小声）
小何同学ㅤ,江西,2024-07-22 12:11:59,祝雷总年入百万
动感光波biubiubiu⭐️,广东,2024-07-22 12:11:58,小米汽车品牌代言人
菜叶,广东,2024-07-22 12:10:33,中国海陆空军已经很强大了，还有个雷军
夹克就是我,德国,2024-07-22 12:08:12,知道了，这就上街试试[看]
悅～,河南,2024-07-22 12:08:09,普通家庭可不舍得啊啊
还没说晚安,四川,2024-07-22 12:07:42,雷总的画质为啥这么糊 小米拍的吗
多汁荟.鲜榨果汁（中央商场店）,江苏,2024-08-17 20:46:41,军儿，带姐飘一会，听见没….
二号猛男为您服务,广东,2024-08-16 19:39:38,雷总你还敢坐这个车啊，我看有个博主测评说这辆车有安全隐患啊，本来想买的，还好提前看了测评[不失礼貌的微笑]
凉都卖房哥,贵州,2024-08-15 13:11:57,只要用这张照片做头像，我保证买小米
小米洗衣机旗舰店,河南,2024-08-12 18:33:50,我要拼命卖洗衣机！！！！这样就可以买一台了[呲牙][呲牙]
永顺,广东,2024-08-10 18:45:00,我敢打赌，99%的小米su7车主不舍得开出去玩漂移
arrri,北京,2024-08-09 18:06:43,@陌轩轩轩（看过凤凰传奇，薛之谦版） @绿眼黑猫 @航海的魚 给我买
xing.,湖北,2024-08-08 14:59:52,雷总，要是你用这个头像给我买一辆小米su7
蕉太狼来了,河北,2024-08-07 10:43:11,小米：我们轮胎卖不出去了，大家赶紧学起来[捂脸][捂脸][捂脸]
超级无敌幸运女神～,四川,2024-08-05 22:36:25,雷总，我一星期前给小米售后反馈更新系统的问题，到现在都没得个回复，售后服务得跟上啊，不要管卖不管售后了
阿墨古茶,云南,2024-08-05 13:24:50,✌
✨瑶瑶妹,山西,2024-08-04 21:52:46,赢了，走遍全网[呲牙]
莲玲,湖北,2024-08-04 21:35:28,珍爱生命吧！这是专业车手才能掌握的技能！要谨慎使用自己的影响力！珍爱生命！
绾,河南,2024-08-04 18:53:20,@陈坨坨 @🌙。 @驴肉薄饼 @桉 @今天吃什么 @🦋 @DHHS @100岁被迫嫁人 @甜甛圈 给我买[比心]
罗扬成,广东,2024-08-04 16:30:03,
程艾影🫧,山东,2024-08-04 15:24:32,雷总你要是想送我一辆小米su7，你就换上这个头像[机智]
不想睡觉CiCi,湖北,2024-08-04 15:20:35,@yaaaa_05 @舅舅我黑特曼 @美丽的翠花 @哈吼嘿 @island @🍞（见过keshi版） @屿寻
火山哥 小面积厂房出租,广东,2024-08-04 12:58:03,雷总学坏了，教你们怎么费轮胎[捂脸]
差亿点长成帅哥了,江苏,2024-08-04 11:26:15,雷大爹  我是应届大学毕业生  能不能送我一辆[九转大肠][九转大肠][九转大肠][九转大肠]
渝轮乐,贵州,2024-08-04 11:01:03,又有不少小米车主有了漂移的冲动，但哪儿找地方漂啊？
Snow.,湖北,2024-08-04 10:53:43,雷总可以进军卫生巾行业吗，卫生巾是女性必需品但是很多价格贵且不干净[流泪][流泪][流泪]
@小师妹,重庆,2024-08-03 17:26:07,军儿，不是深踩油门，是深踩电门
鸠,浙江,2024-08-03 16:19:20,@清栩 @大林子、 @奇奇奇曲饼 @。 @枯枝. @凹凸曼进化版 @栩相 @小陈睡不醒. @仙姿玉貌大吗喽 @沐聏 @桑が 给我买好不好[可怜]买了我立马去考驾照再也不拖了[可怜][可怜]
我开始找你了,广西,2024-08-03 13:27:10,@ĸ @降雨 @溧鱼余 @一章书信 @我今天吃鸡蛋了 @-芋圆葡萄 @阿屿
托尼时尚秀,广东,2024-08-03 12:01:38,军儿、我看你粉丝也不少了；没必要一直服务小米、可以出来单干了[来看我][捂脸][捂脸][捂脸]
流泪的鱼,贵州,2024-08-02 19:42:57,
靓到无友,广东,2024-08-02 00:31:23,雷：我以为你的所有都是真的[流泪][流泪][流泪][流泪][流泪][流泪][流泪]
被窝公主*,江苏,2024-07-30 15:58:30,网络成就了很多人，雷军才玩抖音多久，都开上小米su7了
强大在于放下ღ,广东,2024-07-29 09:57:24,@万叶遮天 @7TuBe @>ヮ< @理. 去试试[尬笑]
斡旋,江苏,2024-07-28 22:37:34,雷总，我想要一辆，如果你同意送我就拿这个当头像[看]
辣鸡,山东,2024-07-28 21:33:20,雷总，去看su7，自吸门把孩子手给夹毁了，防夹手功能不行啊。这怎么办？
px不会劈叉,广东,2024-07-28 21:23:16,@sooyaaa__ @爱吃胡萝呗 @鲨哈哈哈哈 @rr @麻雀啄牛屁gu @羡水不羡川 博主也是好上了，都接到小米的广了[捂脸][OK]
slow-:D,四川,2024-07-28 20:50:12,雷雷  小米卫生巾   求求了
吾生吾息,江苏,2024-07-28 20:48:21,请问雷总，我在哪条路这样漂移，交警不管我[看]
furry贩子,河南,2024-07-28 15:17:08,别怪我在别人评论区看到的
吃饭π_π,福建,2024-07-28 12:33:57,我不是想赢，我只是不想输
qawsed,广东,2024-07-28 12:01:59,雷总，什么时候搞活动，买小米手机送小米汽车。
吃瓜群众，杠精。,河北,2024-07-28 11:55:35,学会了，酥妻哪里领？
孙大圣,浙江,2024-07-27 22:46:32,学废了，现在在路边等拖车
无颜祖,安徽,2024-07-27 20:23:23,雷总，看完你的su7发布会就果断订了一台MAX送给老婆作为结婚5周年的礼物，都已经交了首付、上了保险、去提车了，由于在你们肥东县交付中心的体验感极差，现在退车了，麻烦退下定金和交强险！
见路不走～,陕西,2024-07-27 14:59:01,我的新屏保 雷总 你不会生气吧[奸笑]
小粥同学🔥,四川,2024-07-27 14:48:11,知道为什么雷军要造电车吗，雷里带电，军里带车
KC📷,广东,2024-07-27 14:33:54,雷总，如果你愿意换成这个头像，就给我买辆SU7怎么样[看]
天堂1信仰,辽宁,2024-07-27 14:32:23,我觉得我应该学会了，就差一台车了试一下了。
遇见🌟🌟的旅程,贵州,2024-07-27 07:54:44,这个不是电车吗为什么会冒烟
小偷,广东,2024-07-27 00:37:39,雷总[呲牙]
FirstDay,江苏,2024-07-26 23:40:49,售后电话都打不通
SHUN,广东,2024-07-26 23:35:39,@JIA @昱 @缘 给我买[发怒]
玉玉排骨汤,安徽,2024-07-26 22:15:33,雷总[看]咳咳
很宅的阿信,云南,2024-07-26 21:51:17,@NaOH @海边听Jay @一只快乐的狗 @桉
遠方,陕西,2024-07-26 21:21:48,明年飞驰人生雷总拍
Yin SHUOSHR,江苏,2024-07-26 21:10:42,打算买车、小米su7全部下来多少钱
公子陈,四川,2024-07-26 20:56:01,把防弹衣拖下来[尬笑]雷娃子
过山高水长,浙江,2024-07-26 19:58:18,他在一种很平静的态度告诉我如何漂移 ，可他万万没想到我连驾照都没有 [微笑][叹气]
吳,上海,2024-07-26 19:56:13,雷总芳龄几何
四哥,广东,2024-07-26 19:50:35,雷总，这发型挺漂移呀[捂脸][比心][比心][比心]
禁🖇️,内蒙古,2024-07-26 18:27:36,雷总，你可以送我一台手机吗？[抱抱你][感谢]求求了
Grapes,广东,2024-07-26 18:26:26,都是假的，实际上雷总上车就叫小爱托管了[看]
金小棱,黑龙江,2024-07-26 17:00:29,雷总，哈工程第一台SU7，我老公是您的超级粉丝，祝愿小米越来越好[比心]
再来一碗冰豆花,云南,2024-07-26 16:47:57,学会了，小米su7在哪里领[看][看][看]
秦宇 大道至简 有始有终～,四川,2024-07-26 16:25:23,雷总。你可以出小米洗头膏吗  你是老总里面头发最多最茂盛的 你要是做这个产品全世界的人都会用小米洗发水的[看] 有可信度
王盼,天津,2024-07-26 16:16:53,雷总，可以出小米食用油么，相信你的选品
长汀第一深情男人         🐜,福建,2024-07-26 14:02:43,雷总，我已经跟你学完了……
脑瓜子 💕ᶫᵒᵛᵉᵧₒᵤ💕翁翁,广东,2024-07-26 12:39:08,我缺的是技术吗？我缺的是一辆小米 SU7。雷总，安排一下？[捂脸][捂脸][捂脸][捂脸]
泽,广东,2024-07-26 11:32:17,@落晨 @迷人的小杰 @荒月 @纛刈 不是这是谁[宕机][宕机][宕机]
不要叫我憨憨,湖南,2024-07-26 10:09:22,雷总，此时此刻一个小男孩的心碎了[流泪][流泪]
.勇敢做自己²,江西,2024-07-26 08:51:41,雷总，开个医院吧！看病贵看病难！[流泪]
旅行,河南,2024-07-26 07:28:23,博主越来越好了，现在都开始接广告了[比心][比心][比心]
星见安,云南,2024-07-26 01:43:08,"十年前:小米科技
十年后:小米重工[宕机][宕机]"
随车吊14吨,甘肃,2024-07-25 22:33:50,没想到，我的漂移是雷军教的[鼓掌][鼓掌][鼓掌]
仰乐多,四川,2024-07-25 22:25:30,沉稳的军，居然还能当教练教漂移
jw雯,辽宁,2024-07-25 22:05:28,小米最棒的品牌
敷衍小霸王,河北,2024-07-25 21:36:27,哈哈哈哈哈哈哈哈哈哈哈，我看雷总，我奶在旁边以为我在看题[宕机]
猴子大王0827,广东,2024-07-25 21:04:46,第一个漂移是雷军教的[绿帽子]
@风的季节@,河南,2024-07-25 17:58:40,雷总这应该不是油门吧？是电门
交互式2,河南,2024-07-25 12:49:03,@碎 @山爱一 @被子小姐 @somethings @落枫叶 今天遇见了一个SU7差点撞到他，主要是他还往后退[捂脸][捂脸]
十万光年,江苏,2024-07-25 12:18:57,雷总，也不会开，只是坐驾驶座演示下
丛林のfish,上海,2024-07-25 11:18:32,雷总发视频很受欢迎，提拔为宣发部经理[捂脸]
Yan 。,浙江,2024-07-25 11:00:18,学会了。雷总！去哪领车？
📷超人会飞ANY,四川,2024-07-25 10:56:11,小米有油门？
猫猫游戏,河南,2024-07-25 10:50:06,雷总，加油，我要努力五年后盖房子，希望可以做一个小米的全屋定制
灵魂汁子-乔哥亚,辽宁,2024-07-25 10:13:14,雷总儿，如果你用这个照片当头像，就给我买一辆小米su7怎么样[色]
发财汽车原车配件,广西,2024-07-25 09:16:31,小米修理厂忙不过来了。修不完跟本修不完[捂脸]
北极寺儿,北京,2024-07-25 08:26:16,@雷军  军哥，看完你演讲就下单了一台k70至尊冠军版，你看这个后盖，图案斜到姥姥家了，他们都笑我[泣不成声]
白飞飞,河南,2024-07-25 07:31:28,我可能不懂。为啥电车会冒烟？
蓝玫瑰,湖南,2024-07-25 07:11:18,谁相信啊科目三挂了四次了[捂脸][捂脸][捂脸][捂脸]
小亮,湖北,2024-07-25 07:07:46,雷总也喜欢玩刺激[赞][赞][赞]
XIX_,广东,2024-07-25 01:15:23,"交警同志：谁教你在市区漂移的
[不失礼貌的微笑]：雷军教我漂移的[不失礼貌的微笑]"
天玘,甘肃,2024-07-25 00:21:26,雷总，敢不敢出个小米电动车，小米汽车买不起，我想要电瓶车
mask,四川,2024-07-24 22:41:46,学会了 什么时候给车
乱撞,广东,2024-07-24 22:33:02,雷总优化一下平板的澎湃系统吧[流泪][泣不成声]我用的好难受啊
34361074058,山东,2024-07-24 22:32:51,打扰了，有没有学医的
骚男的小师妹,广东,2024-07-24 22:32:45,爸爸，过瘾归过瘾，安全第一呀[泣不成声]
牛罗哥,广东,2024-07-24 22:29:12,20码是国外速度名称，国内应该用km/h，误导人，这点很多博主都这样，雷总，你不应该也这样[微笑]
M小马哥,广东,2024-07-24 22:20:53,雷总，电影《飞驰人生3》里面要是没有你，我不看。[大笑]
繁華年間〃花開盡,湖北,2024-07-24 22:15:22,军儿学会了，车车在哪里领取[看]
张初初羽,河南,2024-07-24 21:58:53,你，我的朋友！是第一个教我怎么漂移的人！第二台车一定考虑小米！
Dengpeilei,江苏,2024-07-24 21:57:10,快点产出来吧，等惨了
睡不醒_,河南,2024-07-24 21:42:36,军儿，你用这个照片当头像吧 我觉得挺帅的
晚霞中她摆裙回首,贵州,2024-07-24 21:36:39,@我爱喝可乐 @不破楼兰终，不破不立 @雨墨染.[舔屏][舔屏][舔屏]
克里斯（健身版）,广东,2024-07-24 20:46:28,为什么博主老是介绍小米的产品，他是不是有熟人在小米上班[疑问]
Niceer.,四川,2024-07-24 20:27:00,爸，我说咱能不能开始做相机啊[看]
冰霜雷霆,广西,2024-07-24 20:22:16,那些说换头像买车的，你们买了吗
十五盎,广东,2024-07-24 20:12:40,学会了爸爸，可以送女儿一辆吗
嗒哒唔,四川,2024-07-24 20:12:05,还是太复杂，可不可以一键漂移
顾念,河南,2024-07-24 20:10:33,爸，您变苍老了，儿子以后给您养老
李琼,河南,2024-07-24 20:05:31,他居然换了头像[泣不成声]
水滴石穿,山东,2024-07-24 19:55:39,雷老板竟然用了替身[玫瑰]
槿宸A.N.jel,北京,2024-07-24 19:46:53,雷总[尬笑]小米卫生巾咋说[尬笑]现在市面上的卫生巾太不健康了
名字太长不好记,江苏,2024-07-24 19:32:55,小米SU7是烧油的吗，不是电门吗[捂脸]
张子耀,广东,2024-07-24 19:32:26,啥时候出显卡？[泣不成声][泣不成声][泣不成声][泣不成声]
36521550935,北京,2024-07-24 19:32:22,我缺的不是操作 是车
鲤迹,甘肃,2024-07-24 19:21:56,小米可以做卫生巾吗？[玫瑰][玫瑰]想用牌子货[看]
不会飞的320,江苏,2024-07-24 19:17:11,雷总，如果您用这个头像，我就马上定10辆su7
流苏,河南,2024-07-24 19:14:17,买了 很好吃 不知道有没有买贵 我买的6块钱一斤 强烈推荐和绿豆一起煮 放两颗冰糖 然后放冰箱里 夏天特别解暑
欧克瑟.,山东,2024-07-24 19:08:23,我是大学生，能不能送我一辆[流泪]
🖤 Even 🖤,上海,2024-07-24 19:06:12,雷总！卫生巾！
颜选极物,浙江,2024-07-24 19:02:43,这眼神大家确认下是不是雷总
大浪,广西,2024-07-24 18:47:51,[捂脸]现在的经济状况玩不了漂移，怕磨轮胎
长谷川太一,河南,2024-07-24 18:42:48,@你在看甚么 @路过.
从此唯行乐，闲愁奈我何。,河北,2024-07-24 18:19:44,雷总，如果我用这个照片当头像，你就送我一台小米su7[暗中观察]
ROSÉ.顾总,江苏,2024-07-24 18:05:20,军儿，会跳科目三[捂脸]
0.0,新疆,2024-07-24 17:48:08,我军哥混起来了  能接到小米的广告了
星星霄,内蒙古,2024-07-24 17:45:43,"网友：雷总，又换新手机啦?
雷军：这是我在转转二手机平台上新买的小米K70至尊版[看]"
呆唯的剪刀手,安徽,2024-07-24 17:42:30,雷总，要是用这个当头像，就送我台su7怎么样[捂脸]
海浪,浙江,2024-07-24 17:29:33,我觉得还是这个头像好
设计师诺瓦,北京,2024-07-24 17:25:47,雷总，技巧我都学会了，车和场地去哪领[微笑]
C端购,福建,2024-07-24 17:02:56,"军哥，有时间跟韩寒商量下，飞驰人生3就用su
7[赞]"
暴躁茶π,黑龙江,2024-07-24 16:57:06,辛苦了，这位教练，祝你月入过万[玫瑰]
冉二哥呀、,重庆,2024-07-24 16:52:38,送我一辆，免费开着给您打广告加一个终身米粉，您考虑一下吧[比心]
木有枝,四川,2024-07-24 16:48:29,@Cycle. @想分 @Cruch @LIN. @lala 学到了[灵机一动]
与辉的日子,广东,2024-07-24 16:48:02,哥，我买不起轮胎🛞
_搞笑男,广东,2024-07-24 16:36:16,雷总，8月3日我生日，能满足我在生日前提车的愿望吗[感谢]
宁采玫瑰不采臣,贵州,2024-07-24 16:33:02,雷总，什么时候出小米电动车，要比9号帅，跑得快，续航能力强[泣不成声]，求求你啦[泣不成声]
帅帅龙地咚,浙江,2024-07-24 16:30:14,雷子，这事情不能教，万一哪个米粉在大马路上搞，你这要出事情的
毁灭,江苏,2024-07-24 16:06:29,送我一个啊，要不然怎么漂移
的确良,IP未知,2024-07-24 15:50:28,总结:你们换车的频率太低了
🙈退休女大别掉发,IP未知,2024-07-24 15:31:47,雷总能不能开个票务公司，把演唱会价格打下来[泣不成声]
○○○,贵州,2024-07-24 15:09:59,学会了，还差一辆小米su7
倒计时.,广东,2024-07-24 14:53:05,我这台小米网络和蓝牙为什么一直连不上？
Fisher,浙江,2024-07-24 14:39:14,雷总，进军眼镜市场吧，现在配一副眼镜简直是抢[捂脸]
Ngziman,广东,2024-07-24 14:17:21,雷总，漂移我学会了，请问SU7在哪里领？[九转大肠]
7,安徽,2024-07-24 13:55:49,军儿，您的真诚真是必杀技[赞]
火🔥 借我一把火🔥照亮余生,浙江,2024-07-24 13:30:42,雷总主打一个听劝[捂脸][捂脸][捂脸]
规则长方形固体物质空间转换移动工程师🧱,江苏,2024-07-24 13:19:02,只怪刘皇叔当年选错车[尬笑]
乍现,广东,2024-07-24 13:04:15,雷总不能有点架子吗 头像说换就换
盼达,四川,2024-07-24 13:03:12,雷总，什么时候优化啊？真的不好用
一小只楚楚,湖北,2024-07-24 12:54:07,雷总，我也想学漂移，但是我没有su7
跨界,湖南,2024-07-24 12:37:27,"中国未来的四军
海军 陆军 空军 雷军"
联哥,广东,2024-07-24 12:34:51,雷总，我也漂了。没控制好，像这种情况怎样回正，坐等教程，挺急的！
李阿呆,河北,2024-07-24 12:30:40,学会了，什么时候送给我一辆su7我试试
峰,广东,2024-07-24 12:12:13,雷总，你用这个当头像  我买小米
牢记持酒战,河北,2024-07-24 12:06:53,小米洗地机给我解决一下
广汽三菱湖北宏菱4S店,湖北,2024-07-24 11:55:00,这个漂移我能说也会吗？
字丑,福建,2024-07-24 11:38:20,相机真的应该整顿 好贵 出一个小米相机[九转大肠]
单单,湖北,2024-07-24 11:36:13,[流泪]对人体工学椅，最好造个女生小个子专属的，150小个子人体工学椅合适的太少了
安 心,广东,2024-07-24 10:34:03,假如他姓白，叫白什么比较合适[疑问][疑问]
biu-,马来西亚,2024-07-24 09:17:09,"中国最厉害的军队排名:
1.空军
2.海军
3.陆军
4.雷军"
阿远,浙江,2024-07-24 08:36:57,想不到军儿这里学到了飘移技术，因为其他学习飘移的，都是先说 15 分钟安全，还说不清楚原理。
不瘦到90斤不改名字,河北,2024-07-24 08:28:58,勇敢的人先享受世界，雷总请送我一辆[泪奔]
易名,四川,2024-07-24 08:17:54,电车玩漂移容易自燃哦
F.L66666666,陕西,2024-07-24 08:12:50,不能加速，突然左转加轻刹车么？[白眼]
红五仔,浙江,2024-07-24 08:12:23,中国懂营销第一人，但我还是不买账，哈哈[呲牙][呲牙]
倾听海风,广东,2024-07-24 08:06:47,头像还真换了[捂脸][捂脸][捂脸]
Acan,福建,2024-07-24 08:01:55,我怀疑你想开轮胎厂了[捂脸][捂脸]
平平无奇大俗人,河南,2024-07-24 08:01:31,学会了，小米su7哪里领？
龙二少,广东,2024-07-24 07:51:18,电车应该是电门不是油门
不才,陕西,2024-07-24 07:47:21,电门啊，哥们儿…
🌈 Recollection,海南,2024-07-24 07:39:56,纠正一下，是电门不是油门。不用谢！
🇨🇳小马哥,陕西,2024-07-24 07:32:10,不是纯电动吗？咋还有烟里
Zero.six,山东,2024-07-24 07:27:09,"出个红米汽车吧[思考]，车标就用双R, red rice[看]"
钢铁直男,新疆,2024-07-24 02:25:46,对，要轻打方向盘，像我这样就是打重了[捂脸][捂脸][捂脸]
宇宙无敌暴龙战神,辽宁,2024-07-24 01:10:08,雷子是真拼啊，看到赛车服没忍住[捂脸]
晚霞入眼泛红,广东,2024-07-24 00:49:53,@雨雨没追求🍧 @杨枝甘露🥭 @小小声 @星游野✨ @大鱼没有海棠 @腋天帝 @°风溢不止 在抖音，你甚至还可以看到雷军教你玩漂移
🌈Seven 熙,四川,2024-07-24 00:19:52,小雷 东西便宜点
tguuv,江西,2024-07-23 23:58:48,我想用雷总做的羽毛球玩滑板吊球[微笑]不想要什么小米su7玩漂移[微笑]
美男子,河南,2024-07-23 23:42:26,劲爆新闻啊[色]雷军竟然开始给小米打广告了[捂脸]
魁言,广东,2024-07-23 23:20:48,雷总，小米su7 ultra什么时候上巅峰极速？
🌹💕,山东,2024-07-23 23:14:44,雷总，我的小米手机12屏幕突然花了，上一次也这样，过了几天好了，今天修手机的说打开修的话会不开机，不建议修了，说很多小米手机都这样，请问这是真的吗？我才用了一年啊[尬笑][尬笑][尬笑]
njjql,江苏,2024-07-23 23:10:51,特别费胎[捂脸]
☞小哥,湖北,2024-07-23 23:08:53,军哥，要是飘翻了，算谁的[捂脸]
欲。,四川,2024-07-23 23:07:21,雷千亿，不够钱那个su7咋办
mr、汪,安徽,2024-07-23 23:07:13,雷总，你的发量也开始感人了，还是要关注一下发量问题，要不以后怎么拍电影🎬？
风暴水手,美国,2024-07-23 22:57:36,雷总，创办个自行车品牌吧。骑车锻炼的人越来越多。希望有一天看着雷总造的自行车品牌进入环法大赛。
叶落抚尘@,广东,2024-07-23 22:55:46,雷总，我找不到油门[捂脸]
飘移阿昊(劳恩斯酷派),河南,2024-07-23 22:53:52,雷总能送我一个SU7吗 我比你飘的好点
華晓,湖南,2024-07-23 22:51:06,雷总这是实力教学甩尾漂移[捂脸][捂脸][捂脸]
奥特曼怪兽,广东,2024-07-23 22:48:10,雷总，你如果送我一辆小米su7，我就学漂移[灵机一动][灵机一动][灵机一动]
宝妹,广东,2024-07-23 22:47:50,月收2900怎么买小米[暗中观察][暗中观察][暗中观察]给个方案[舔屏][舔屏]
Unfamiliar,江苏,2024-07-23 22:41:30,雷总，玩便宜，小蜜包换胎吗[泣不成声][泣不成声]
点心画圈,广东,2024-07-23 22:35:32,不买那个小子拿出来网烤！
长温可乐,浙江,2024-07-23 22:23:18,雷总，你在这练习漂移，是准备拍摄【飞驰人生3】吗？
晓铭心醉了,广东,2024-07-23 22:17:36,军儿，如果你用这个照片当头像，并且一直不换+坚持3年以上 ，我就买一辆小米su7[微笑]
用户2603315219042,山东,2024-07-23 22:13:15,雷军：卖一辆车很难嘛？ 销售：……
白灯雨墙,安徽,2024-07-23 21:37:14,雷总我们女性很需要你，液体卫生巾，我想用一次[泣不成声]
316164.,湖南,2024-07-23 21:09:34,这才是我心目中的雷军
👊🇩🇪,江苏,2024-07-23 21:07:34,雷子，如果你换这个头像，我就买一辆小米su7
🍎黄湘厨简厨食品臭鳜鱼批发厂家直销,重庆,2024-07-23 20:54:38,新闻报导事故已经出过几次了
蕃茄小茜,四川,2024-07-23 20:48:12,雷总牛呀！还有什么你不会的？
筑梦,江西,2024-07-23 20:47:46,麻烦备注去封闭场所玩[感谢][感谢][感谢]
万里江湖梦,北京,2024-07-23 20:45:43,飞驰人生3:军的漂移
叹息,山东,2024-07-23 20:43:52,那..个...雷总..你..你..缺..儿子.吗？....
饿郎公子,广东,2024-07-23 20:43:49,小雷，多搞利民的事造福人民
@小周,河南,2024-07-23 20:42:28,雷总、你这视频不厚道哦、你让开小米的玩漂移、我想知道出事了、你兜底吗[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
小林吃吃吃,广东,2024-07-23 20:36:17,雷子，注意安全
Q...,广西,2024-07-23 20:35:49,前提是我得有su7才能玩啊[流泪][流泪][流泪][流泪]
啊哦鹅一屋鱼,广东,2024-07-23 20:19:35,简历：曾接受身价千亿级赛车手专业级赛车培训[暗中观察]
曦哥哥,重庆,2024-07-23 20:06:21,有人在@。你，雷总
温州利亨氟塑科技有限公司,浙江,2024-07-23 20:02:04,祝我雷哥 年入百万
安排,日本,2024-07-23 19:34:51,
ZL乐乐,陕西,2024-07-23 19:20:44,哑光绿是认真的吗
luck one,浙江,2024-07-23 19:18:25,雷总可以出宾果那种小型车了[尬笑]
伊莉莎白,广东,2024-07-23 19:10:31,军哥，你给我30万我就用20要跟你买一辆。立帖为证，我不会像个别网友骗你。[玫瑰]
蓝星最后一个老实人,上海,2024-07-23 19:09:24,雷总，刹车问题解决了没有啊
向南忘北,安徽,2024-07-23 19:04:32,喜欢你的收尾停车[赞]
挽手  说梦话,江苏,2024-07-23 19:02:46,小军儿，我把苏七不能拆的都拆了，就是没找到油门
别去证券,山东,2024-07-23 19:02:25,竟然试图教会我[看]
宁静的夏天,浙江,2024-07-23 18:58:07,雷总你好，车是买来开的，不是买来漂移的，爱护小米
小哥^_^,广东,2024-07-23 18:56:25,这样漂坏了在质保范围内吗？[捂脸][捂脸][捂脸]
^0^金金哥,北京,2024-07-23 18:51:28,深踩油门，你有油吗。应该是猛踩加电[捂脸]
ღ᭄词不达意ღ,四川,2024-07-23 18:43:21,好好好，我这样出车祸了就是你的责任[害羞]
用户1489686589791,重庆,2024-07-23 18:35:00,雷总，你倒是家大业大的，我勒紧裤腰带才买了一辆su7，怎么玩漂移啊？
👉serendipity👈,浙江,2024-07-23 18:28:37,@LC. @iinn @J-jrui @～～. 帅
121392592,安徽,2024-07-23 18:13:35,看雷总在网上帮网友把网友架在网上烤[思考][思考][思考]
